,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Investment,-859745.5318785998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales,0.0,591300.0,609039.0,627310.17,646129.4751,665513.3593530001,685478.7601335901,706043.1229375978,727224.4166257258,749041.1491244975,771512.3835982325,794657.7551061795,818497.4877593649,843052.4123921458,868343.9847639102,894394.3043068275,921226.1334360323,948862.9174391134,977328.8049622868,1006648.6691111554
Depreciation,0.0,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-150455.46807875496,-42987.27659392895,0.0,0.0,0.0,0.0
Loan principal,0.0,-107413.52585067599,-111710.06688470303,-116178.46956009115,-120825.60834249479,-125658.6326761946,-130684.97798324238,-135912.3771025721,-141348.87218667497,-147002.82707414197,-152882.94015710766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loan interest,0.0,-51584.731912715986,-47288.19087868895,-42819.78820330081,-38172.64942089718,-33339.62508719737,-28313.279780149594,-23085.88066081987,-17649.385576717,-11995.430689249999,-6115.317606284302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salaries,0.0,-360000.0,-367200.0,-374544.0,-382034.88,-389675.5776,-397469.08915200003,-405418.47093504004,-413526.84035374084,-421797.3771608157,-430233.32470403204,-438837.99119811266,-447614.75102207495,-456567.0460425165,-465698.3869633668,-475012.35470263415,-484512.6017966868,-494202.85383262055,-504086.91090927296,-514168.64912745846
Water,0.0,-101703.6,-104754.70800000001,-107897.34924000001,-111134.26971720002,-114468.29780871602,-117902.3467429775,-121439.41714526684,-125082.59965962484,-128835.0776494136,-132700.129978896,-136681.1338782629,-140781.56789461078,-145005.0149314491,-149355.1653793926,-153835.82034077437,-158450.8949509976,-163204.42179952754,-168100.55445351338,-173143.5710871188
EBT,-859745.5318785998,-72443.799991471,-60659.36695744388,-48406.43552205572,-35667.79211685213,-22425.609221668332,-8661.423620291986,5643.886117716029,20510.122956888168,35957.79554626328,52008.14323026524,68683.161951049,79645.70076392416,91024.88333942532,102834.96434239583,222558.85266949004,278262.63668834796,291455.64180696534,305141.3395995005,319336.44889657816
Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1693.1658353148086,-6153.036887066451,-10787.338663878983,-15602.442969079571,-20604.948585314698,-23893.71022917725,-27307.465001827593,-30850.48930271875,-66767.655800847,-83478.79100650438,-87436.6925420896,-91542.40187985015,-95800.93466897345
EAT,-859745.5318785998,-72443.799991471,-60659.36695744388,-48406.43552205572,-35667.79211685213,-22425.609221668332,-8661.423620291986,7337.0519530308375,26663.159843954618,46745.13421014226,67610.5861993448,89288.1105363637,103539.41099310141,118332.34834125292,133685.45364511458,289326.508470337,361741.42769485235,378892.33434905496,396683.74147935066,415137.3835655516
Cash Flow,-859745.5318785998,-29401.85776339202,-21913.965763391956,-14129.437003391911,-6037.932380591956,2371.2261808920302,11109.066475220592,21880.142929213704,35769.755736034596,50197.77521475524,65183.114120992104,239743.57861511866,253994.87907185638,268787.81642000785,284140.9217238695,332313.78506426595,361741.42769485235,378892.33434905496,396683.74147935066,415137.3835655516
Cumulative Cash Flow,-859745.5318785998,-889147.3896419918,-911061.3554053837,-925190.7924087757,-931228.7247893676,-928857.4986084756,-917748.432133255,-895868.2892040412,-860098.5334680066,-809900.7582532514,-744717.6441322593,-504974.06551714067,-250979.1864452843,17808.62997472356,301949.5516985931,634263.336762859,996004.7644577114,1374897.0988067663,1771580.840286117,2186718.2238516686
